function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_towctrans_l	c:@F@p101_towctrans_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/wctype.c	libraries/lib_posix/include/p101_posix/p101_wctype.h	yes	yes	yes	towctrans_l	c:@F@towctrans_l
p101_towlower_l	c:@F@p101_towlower_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/wctype.c	libraries/lib_posix/include/p101_posix/p101_wctype.h	yes	yes	yes	towlower_l	c:@F@towlower_l
p101_towupper_l	c:@F@p101_towupper_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/wctype.c	libraries/lib_posix/include/p101_posix/p101_wctype.h	yes	yes	yes	towupper_l	c:@F@towupper_l
p101_wcpcpy	c:@F@p101_wcpcpy	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/wchar.c	libraries/lib_posix/include/p101_posix/p101_wchar.h	yes	yes	yes	wcpcpy	c:@F@wcpcpy
p101_wcpncpy	c:@F@p101_wcpncpy	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/wchar.c	libraries/lib_posix/include/p101_posix/p101_wchar.h	yes	yes	yes	wcpncpy	c:@F@wcpncpy
p101_wcscasecmp	c:@F@p101_wcscasecmp	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/wchar.c	libraries/lib_posix/include/p101_posix/p101_wchar.h	yes	yes	yes	wcscasecmp	c:@F@wcscasecmp
p101_wcscoll_l	c:@F@p101_wcscoll_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/wchar.c	libraries/lib_posix/include/p101_posix/p101_wchar.h	yes	yes	yes	wcscoll_l	c:@F@wcscoll_l
p101_wcsdup	c:@F@p101_wcsdup	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/wchar.c	libraries/lib_posix/include/p101_posix/p101_wchar.h	yes	yes	yes	wcsdup	c:@F@wcsdup
p101_wcsncasecmp	c:@F@p101_wcsncasecmp	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/wchar.c	libraries/lib_posix/include/p101_posix/p101_wchar.h	yes	yes	yes	wcsncasecmp	c:@F@wcsncasecmp
p101_wcsnlen	c:@F@p101_wcsnlen	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/wchar.c	libraries/lib_posix/include/p101_posix/p101_wchar.h	yes	yes	yes	wcsnlen	c:@F@wcsnlen
p101_wcsnrtombs	c:@F@p101_wcsnrtombs	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/wchar.c	libraries/lib_posix/include/p101_posix/p101_wchar.h	yes	yes	yes	wcsnrtombs	c:@F@wcsnrtombs
p101_wcswidth	c:@F@p101_wcswidth	XSI	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix_xsi/src/wchar.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_wchar.h	yes	yes	yes	wcswidth	c:@F@wcswidth
p101_wcsxfrm_l	c:@F@p101_wcsxfrm_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/wchar.c	libraries/lib_posix/include/p101_posix/p101_wchar.h	yes	yes	yes	wcsxfrm_l	c:@F@wcsxfrm_l
p101_wctrans_l	c:@F@p101_wctrans_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/wctype.c	libraries/lib_posix/include/p101_posix/p101_wctype.h	yes	yes	yes	wctrans_l	c:@F@wctrans_l
p101_wctype_l	c:@F@p101_wctype_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/wctype.c	libraries/lib_posix/include/p101_posix/p101_wctype.h	yes	yes	yes	wctype_l	c:@F@wctype_l
p101_wcwidth	c:@F@p101_wcwidth	XSI	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix_xsi/src/wchar.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_wchar.h	yes	yes	yes	wcwidth	c:@F@wcwidth
p101_wordexp	c:@F@p101_wordexp	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/wordexp.c	libraries/lib_posix/include/p101_posix/p101_wordexp.h	yes	yes	yes	wordexp	c:@F@wordexp
p101_wordfree	c:@F@p101_wordfree	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/wordexp.c	libraries/lib_posix/include/p101_posix/p101_wordexp.h	yes	yes	yes	wordfree	c:@F@wordfree
